,energy_in,energy_out,soc,charge_bool,discharge_bool,profit_timeseries,cumulative_profit,cumlative_cycle_rate,cumlative_profit
0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
1,10.0,0.0,20.0,1.0,0.0,-365.15959,-365.15959,0.5,-365.15959
2,0.0,0.0,20.0,0.0,1.0,0.0,-365.15959,0.5,-365.15959
3,0.0,0.0,20.0,0.0,1.0,0.0,-365.15959,0.5,-365.15959
4,0.0,0.0,20.0,0.0,1.0,0.0,-365.15959,0.5,-365.15959
5,0.0,0.0,20.0,0.0,1.0,0.0,-365.15959,0.5,-365.15959
6,0.0,10.0,10.0,0.0,1.0,390.35811,25.198525,1.0,25.19852000000003
7,0.0,6.0,4.0,0.0,1.0,220.66095,245.85947,1.3,245.85947000000004
8,6.5920138e-10,0.0,4.0,0.0,1.0,-2.1130739e-08,245.85947,1.3,245.8594699788693
9,0.0,0.0,4.0,0.0,1.0,0.0,245.85947,1.3,245.8594699788693
10,-7.0992296e-10,0.0,4.0,0.0,1.0,1.2576589e-08,245.85947,1.3,245.85946999144588
11,0.0,0.0,4.0,0.0,1.0,0.0,245.85947,1.3,245.85946999144588
12,6.0,0.0,10.0,1.0,0.0,-81.697963,164.16151,1.6,164.1615069914459
13,10.0,0.0,20.0,1.0,0.0,-129.78429,34.377217,2.1,34.37721699144589
14,0.0,0.0,20.0,0.0,1.0,0.0,34.377217,2.1,34.37721699144589
15,0.0,0.0,20.0,0.0,1.0,0.0,34.377217,2.1,34.37721699144589
16,0.0,0.0,20.0,0.0,1.0,0.0,34.377217,2.1,34.37721699144589
17,0.0,10.0,10.0,0.0,1.0,552.14626,586.52348,2.6,586.5234769914459
18,0.0,6.0,4.0,0.0,1.0,286.62329,873.14677,2.9,873.1467669914459
19,0.0,0.0,4.0,0.0,1.0,0.0,873.14677,2.9,873.1467669914459
20,0.0,0.0,4.0,0.0,1.0,0.0,873.14677,2.9,873.1467669914459
21,0.0,0.0,4.0,0.0,1.0,0.0,873.14677,2.9,873.1467669914459
22,6.3516907e-10,0.0,4.0,0.0,1.0,-2.7404132e-08,873.14677,2.9,873.1467669640418
23,0.0,0.0,4.0,0.0,1.0,0.0,873.14677,2.9,873.1467669640418
24,0.0,0.0,4.0,0.0,1.0,0.0,873.14677,2.9,873.1467669640418
25,10.0,0.0,14.0,1.0,0.0,-360.3519,512.79487,3.4,512.7948669640418
26,0.0,0.0,14.0,0.0,1.0,0.0,512.79487,3.4,512.7948669640418
27,0.0,0.0,14.0,0.0,1.0,0.0,512.79487,3.4,512.7948669640418
28,0.0,0.0,14.0,0.0,1.0,0.0,512.79487,3.4,512.7948669640418
29,0.0,0.0,14.0,0.0,1.0,0.0,512.79487,3.4,512.7948669640418
30,0.0,10.0,4.0,0.0,1.0,375.12455,887.91942,3.9,887.9194169640418
31,0.0,0.0,4.0,0.0,1.0,0.0,887.91942,3.9,887.9194169640418
32,0.0,0.0,4.0,0.0,1.0,0.0,887.91942,3.9,887.9194169640418
